Complaint_ID,Complaint_Text,Category,Severity,Date,Status
CF-150001,"drainage blocked, near temple, urgent attention required",Waste-Water/Sewage,High,2024-05-22 03:43:54,Resolved
CF-150002,"sewage stagnating, in industrial zone, urgent attention required",Waste-Water/Sewage,High,2024-04-05 07:57:37,Pending
CF-150003,"choked drain, near school",Waste-Water/Sewage,High,2025-12-19 19:50:26,In Progress
CF-150004,"low voltage, near temple",Electricity,Low,2024-01-07 05:48:46,Closed
CF-150005,"leakage minor, in slum area",Water Supply,Low,2024-08-08 12:15:18,Pending
CF-150006,"name transfer, in commercial area",Electricity,Low,2024-12-18 21:58:51,Resolved
CF-150007,"payment not reflected, in apartment complex",Electricity,Low,2025-01-22 02:52:08,Closed
CF-150008,"name change, near school",Water Supply,Low,2025-12-22 02:31:56,Pending
CF-150009,"overflowing drain, in neighborhood",Waste-Water/Sewage,High,2024-04-13 13:50:23,In Progress
CF-150010,"meter installation, in commercial area",Water Supply,Low,2024-12-29 07:37:40,Closed
CF-150011,"no water pump, in market area",Water Supply,High,2024-09-07 05:56:57,In Progress
CF-150012,"tariff inquiry, near hospital",Water Supply,Low,2025-12-02 11:48:24,Pending
CF-150013,"power cut emergency, near bus stand, urgent attention required",Electricity,High,2024-08-04 20:39:01,Resolved
CF-150014,"tank overflow, in colony",Water Supply,High,2025-10-20 16:42:22,Pending
CF-150015,"smelly water, near temple",Water Supply,High,2025-03-14 21:14:44,In Progress
CF-150016,"contaminated water, in gated community",Water Supply,High,2024-02-18 03:59:31,Pending
CF-150017,"rodent infestation, in neighborhood",Waste-Water/Sewage,High,2025-09-02 17:02:28,Resolved
CF-150018,"flooding, in apartment complex",Water Supply,High,2025-07-03 09:42:53,Resolved
CF-150019,"drinking water unsafe, in industrial zone, urgent attention required",Water Supply,High,2024-01-04 09:35:22,Resolved
CF-150020,"complete failure, in gated community",Electricity,High,2024-06-05 13:36:49,Pending
CF-150021,"overflowing gutter, near railway station",Waste-Water/Sewage,High,2024-04-24 13:12:56,In Progress
CF-150022,"meter exploded, in neighborhood, urgent attention required",Electricity,High,2025-05-12 02:31:11,Resolved
CF-150023,"continuous outages, in market area, urgent attention required",Electricity,High,2025-09-13 15:24:21,Pending
CF-150024,"overflowing drain, near bus stand",Waste-Water/Sewage,High,2025-10-27 13:35:44,In Progress
CF-150025,"bin replacement, near hospital",Waste-Water/Sewage,Low,2024-08-18 02:19:52,Resolved
CF-150026,"spark explosion, in residential area, urgent attention required",Electricity,High,2025-10-08 02:08:36,Pending
CF-150027,"electric pole dangerous, in neighborhood",Electricity,High,2024-10-12 17:40:24,Pending
CF-150028,"sewage stagnating, in colony, urgent attention required",Waste-Water/Sewage,High,2025-04-29 14:49:14,Pending
CF-150029,"fuse blown, in commercial area",Electricity,High,2025-04-23 01:58:20,Resolved
CF-150030,"sewage overflow, near bus stand",Waste-Water/Sewage,High,2024-04-21 09:03:11,Pending
CF-150031,"load enhancement, in industrial zone",Electricity,Low,2024-07-06 10:08:29,Resolved
CF-150032,"power failure affecting, in apartment complex, urgent attention required",Electricity,High,2025-07-07 00:32:14,Pending
CF-150033,"transformer burnt, in colony",Electricity,High,2025-02-14 02:08:05,Pending
CF-150034,"severe shortage, near temple",Water Supply,High,2025-04-10 10:23:08,In Progress
CF-150035,"collection timing, near school",Waste-Water/Sewage,Low,2024-10-30 07:55:34,Pending
CF-150036,"sewage leak, in our locality, urgent attention required",Waste-Water/Sewage,High,2025-05-03 18:18:29,Resolved
CF-150037,"transformer failure, in market area, urgent attention required",Electricity,High,2024-03-10 08:33:48,In Progress
CF-150038,"blackout, in neighborhood",Electricity,High,2025-08-20 20:34:45,Resolved
CF-150039,"pipeline repair, near railway station",Water Supply,Low,2024-09-01 09:40:14,Resolved
CF-150040,"tariff inquiry, near railway station",Electricity,Low,2024-03-15 00:20:20,Resolved
CF-150041,"manhole overflow, near school",Waste-Water/Sewage,High,2024-05-15 12:42:25,Pending
CF-150042,"connection shift, in market area",Electricity,Low,2025-03-24 19:46:40,Closed
CF-150043,"flooding, in old city",Water Supply,High,2024-04-16 04:53:21,In Progress
CF-150044,"fire hazard, near temple, urgent attention required",Electricity,High,2024-08-03 12:29:02,Pending
CF-150045,"waste segregation, in colony",Waste-Water/Sewage,Low,2024-09-14 01:50:58,Pending
CF-150046,"collection frequency, near temple",Waste-Water/Sewage,Low,2024-02-15 00:07:44,Resolved
